ville,code_commune,departement,region,annee,score_sportif,score_economique
Nancy,54395,Meurthe-et-Moselle,Lorraine,2 018,"0,151","0,541"
Tours,37261,Indre-et-Loire,Centre,2 015,"0,150","0,542"
Le Mans,72181,Sarthe,Pays de la Loire,2 019,"0,149","0,575"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 017,"0,149","0,566"
Rodez,12202,Aveyron,Midi-Pyrénées,2 020,"0,148","0,466"
Orléans,45234,Loiret,Centre,2 013,"0,147","0,518"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 013,"0,147","0,509"
Massy,91377,Essonne,Île-de-France,2 015,"0,146","0,509"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 021,"0,146","0,519"
Angoulême,16015,Charente,Poitou-Charentes,2 019,"0,145","0,602"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 017,"0,145","0,593"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 015,"0,145","0,591"
Vernon,27681,Eure,Haute-Normandie,2 018,"0,145","0,536"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 018,"0,145","0,531"
Cherbourg,50129,Manche,Basse-Normandie,2 016,"0,145","0,524"
Cherbourg,50129,Manche,Basse-Normandie,2 019,"0,145","0,524"
Bourgoin-Jallieu,38053,Isère,Rhône-Alpes,2 016,"0,145","0,521"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 014,"0,145","0,518"
Cherbourg,50129,Manche,Basse-Normandie,2 017,"0,145","0,518"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 021,"0,145","0,514"
Sélestat,67462,Bas-Rhin,Alsace,2 021,"0,145","0,509"
Bourgoin-Jallieu,38053,Isère,Rhône-Alpes,2 012,"0,145","0,500"
Besancon,25056,Doubs,Franche-Comté,2 012,"0,145","0,499"
Ajaccio,2A004,Corse-du-Sud,Corse,2 021,"0,144","0,474"
Le Mans,72181,Sarthe,Pays de la Loire,2 022,"0,144","0,009"
Créteil,94028,Val-de-Marne,Île-de-France,2 016,"0,141","0,505"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 017,"0,141","0,520"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 022,"0,141","0,003"
Nancy,54395,Meurthe-et-Moselle,Lorraine,2 022,"0,139","0,008"
Auxerre,89024,Yonne,Bourgogne,2 019,"0,137","0,526"
Denain,59172,Nord,Nord-Pas-de-Calais,2 018,"0,137","0,622"
Saint-quentin,02691,Aisne,Picardie,2 014,"0,137","0,589"
Vichy,03310,Allier,Auvergne,2 016,"0,137","0,568"
Evreux,27229,Eure,Haute-Normandie,2 015,"0,137","0,556"
Poitiers,86194,Vienne,Poitou-Charentes,2 017,"0,137","0,514"
Antibes,06004,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2 012,"0,137","0,510"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 013,"0,137","0,501"
Evreux,27229,Eure,Haute-Normandie,2 023,"0,137","0,003"
Denain,59172,Nord,Nord-Pas-de-Calais,2 022,"0,137","0,001"
