Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
FC Metz,2020,14798,5789,4512,2611,25510,16003
AS Monaco,2020,25027,11476,2227,23602,121095,31496
Montpellier Hérault SC,2020,20713,5730,2361,7032,40031,16352
FC Nantes,2020,18297,8559,7634,2227,36016,18527
OGC Nice,2020,25738,8898,3072,5224,45199,21897
Nîmes Olympique,2020,12674,1491,3999,2736,19962,5944
Paris Saint-Germain,2020,131421,286537,38059,103829,414383,153951
Stade de Reims,2020,21808,4851,3485,4031,28859,14815
Stade Rennais FC,2020,39304,10451,7153,4295,63790,17239
AS Saint-Étienne,2020,36903,9441,5347,17581,58051,27416
RC Strasbourg Alsace,2020,19362,9679,6528,2257,30688,15542
Toulouse FC,2020,24205,4306,1456,6157,31313,10605
AC Ajaccio,2020,5593,670,434,1672,5984,4783
AJ Auxerre,2020,4641,1566,337,1169,13921,7127
Stade Malherbe Caen,2020,9135,2632,1402,2178,15188,7776
FC Chambly Oise,2020,4101,726,248,1073,4515,1585
Berrichonne de Châteauroux,2020,5152,988,302,925,5219,2676
Clermont Foot 63,2020,4845,1350,294,1076,6312,4759
Grenoble Foot 38,2020,4248,1523,596,1313,4490,3564
En Avant de Guingamp,2020,8966,3042,1126,1549,11425,11661
Havre AC,2020,5091,1836,782,3274,14830,10280
Le Mans FC,2020,4309,2446,1284,2754,5580,4291
RC Lens,2020,5863,3129,3860,1888,19700,14817
FC Lorient,2020,5654,2477,1157,1165,17000,8973
AS Nancy Lorraine,2020,4835,2065,1172,2483,8867,6056
Chamois Niortais FC,2020,4388,1339,458,1811,5454,3135
US Orléans,2020,4285,1707,477,1879,5657,3719
Paris FC,2020,4480,3046,203,2153,10112,4608
Rodez Aveyron Football,2020,4753,439,408,1281,3027,2639
FC Sochaux-Montbéliard,2020,4679,1893,1003,859,8058,5838
ESTAC Troyes,2020,6021,2578,721,1739,9479,5716
Valenciennes FC,2020,4632,1731,706,1839,7149,4379
Angers SCO,2021,21300,2688,0,4106,40192,9675
FC Girondins de Bordeaux,2021,23829,2886,147,14016,65692,24365
Stade Brestois 29,2021,16782,4404,388,5822,25432,8249
Dijon FCO,2021,20175,4708,37,4854,22994,8569
RC Lens,2021,22031,3233,437,7704,34720,17139
LOSC,2021,54384,7416,212,22062,88936,37400
FC Lorient,2021,15362,2858,464,10489,32173,8310
Olympique Lyonnais,2021,65914,8223,957,3955,74807,15942
Olympique de Marseille,2021,91005,28972,236,25447,122088,55460
FC Metz,2021,20336,3368,439,12429,30937,16715
Olympique Lyonnais,2021,65914,8223,957,3955,74807,15942
Olympique de Marseille,2021,91005,28972,236,25447,122088,55460
FC Metz,2021,20336,3368,439,12429,30937,16715
AS Monaco,2021,38675,12138,63,12562,119180,26839
Montpellier Hérault SC,2021,25987,4979,181,13487,41707,12693
FC Nantes,2021,20537,6130,336,12329,45570,17482
OGC Nice,2021,39838,18128,15,9695,65872,20194
Nîmes Olympique,2021,18666,1343,377,4072,20512,6199
Paris Saint-Germain,2021,201781,290174,961,76779,503179,123837
Stade de Reims,2021,20339,2631,307,17067,34801,11366
AC Ajaccio,2021,4436,980,151,2278,4870,4939
Amiens SC,2021,7758,829,622,5678,11750,9532
AJ Auxerre,2021,4994,1470,120,1607,15307,6712
Stade Malherbe Caen,2021,5628,1312,215,7938,17525,6731
FC Chambly Oise,2021,3785,1287,61,1490,5811,1711
Berrichonne de Châteauroux,2021,4132,543,119,1337,5337,2439
Clermont Foot 63,2021,5154,1375,56,1030,7665,5872
USL Dunkerque,2021,3808,549,74,3242,4660,2032
Grenoble Foot 38,2021,4421,1179,204,2294,4426,3401
En Avant de Guingamp,2021,6094,1846,148,3031,14397,9504
Havre AC,2021,5021,1329,140,4191,13595,8299
AS Nancy Lorraine,2021,4701,1366,260,3198,8846,4971
Chamois Niortais FC,2021,4277,942,219,2305,4638,3099
Paris FC,2021,5175,6122,51,1020,13176,5345
Pau FC,2021,3718,1357,147,2161,3847,2151
Rodez Aveyron Football,2021,4006,510,291,2251,3822,2057
FC Sochaux-Montbéliard,2021,4989,1548,182,1007,8645,6026
Toulouse FC,2021,12791,2270,100,10884,25908,10080
ESTAC Troyes,2021,5558,1823,216,2401,13879,5406
Valenciennes FC,2021,4561,1369,238,1059,6013,4638
Angers SCO,2022,19303,4902,2227,8770,27436,14132
FC Girondins de Bordeaux,2022,20566,6402,7640,14926,56495,53677
Stade Brestois 29,2022,17364,11049,4152,11797,29510,12656
Clermont Foot Auvergne,2022,15604,4168,2382,3478,17550,11048
RC Lens,2022,20819,9366,9314,7973,38039,19523
LOSC,2022,90122,19986,16893,20632,84181,64695
FC Lorient,2022,16065,5316,3392,8811,30066,10256
Olympique Lyonnais,2022,65914,8223,957,3955,74807,15942
Olympique de Marseille,2022,57021,55350,28793,96385,135491,80192
FC Metz,2022,16778,7913,5910,5002,34475,20482
AC Ajaccio,2022,4779,1417,475,2530,7569,5211
Amiens SC,2022,5706,1900,1991,2470,11379,9348
AJ Auxerre,2022,4740,2414,1285,4620,14896,8150
SM Caen,2022,4689,3611,1887,5332,9280,8853
Chamois Niortais,2022,3866,821,332,1564,5671,3362
Clermont Foot,2022,3810,4168,498,3478,17550,11048
Dijon FCO,2022,8851,6087,677,5350,13500,9990
Grenoble Foot,2022,3798,1853,498,2170,6044,4443
Le Havre AC,2022,4745,3201,791,2861,12941,9697
Nancy,2022,4077,2625,776,4831,8770,6854
Paris FC,2022,4764,6736,502,1224,12240,6668
Pau FC,2022,3917,1347,475,1391,4553,2178
Quevilly Rouen,2022,3410,1683,413,1848,5446,2104
Rodez Aveyron,2022,3863,590,570,2646,4944,2491
Toulouse FC,2022,6653,4152,2339,14001,22651,12260
Montpellier Hérault SC,2022,20639,7212,2952,7762,40692,15192
OGC Nice,2022,29091,26899,5996,16448,70864,32391
Paris Saint-Germain,2022,201781,290174,961,76779,503179,123837
RC Strasbourg,2022,24360,13085,7868,12159,37050,19690
AS Saint-Étienne,2022,32325,10955,5644,17417,38765,21947
Stade de Reims,2022,19033,5684,4407,7292,27521,16858
Toulouse FC,2022,6653,1823,216,2401,13879,5406
Valenciennes FC,2022,4632,1731,706,1839,7149,4379
Dunkerque,2022,3281,1633,246,1630,5093,2788
Nîmes Olympique,2022,18666,1343,377,4072,20512,6199
Bastia,2022,3861,2351,1338,2645,5579,4535
Sochaux-Montbéliard,2022,4830,2238,1972,1262,7450,4608
Châteauroux,2022,2440,750,580,437,2320,2505
Chambly Oise,2022,1890,400,290,90,1400,140
Quevilly-Rouen,2022,3410,1683,413,1848,5446,2104
Ajaccio,2022,4779,1417,475,2530,7569,5211
AC Ajaccio,2023,14020,5950,2329,9723,16174,12769
Angers SCO,2023,16293,5443,3054,21956,36360,14629
AJ Auxerre,2023,13612,7999,3484,12854,30265,13108
Stade Brestois 29,2023,15574,10453,4334,21098,33144,15706
Clermont Foot 63,2023,18382,4646,2971,19967,25396,15848
RC Lens,2023,26273,18492,13576,26718,65117,31712
LOSC Lille,2023,34288,21552,11669,39498,73334,44084
FC Lorient,2023,32954,5707,4022,3394,38792,13730
