ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2023,1,7,7,59186,0.78,0.38,13728,,,0.7,1.0,0.9520000000000001,,,0.15075752578226356,
Annecy,74010,Haute-Savoie,Rhône-Alpes,football,FC Annecy,2023,2,17,37,13634,0.5,0.0,2508,,,0.2,0.5,0.43000000000000005,,,0.027398465158211843,
Paris,75056,Paris,Île-de-France,football,Paris SG,2022,1,1,1,48583,0.86,0.25,88925,,,1.0,1.0,1.083,,,0.9775161070431208,
Paris,75056,Paris,Île-de-France,football,Paris FC,2022,2,4,24,20000,0.15,0.0,88925,,,0.85,0.5,0.585,,,0.9775161070431208,
Paris,75056,Paris,Île-de-France,football,Paris SG,2023,1,1,1,48583,0.95,0.25,90970,,,1.0,1.0,1.1099999999999999,,,1.0,
Paris,75056,Paris,Île-de-France,football,Paris FC,2023,2,7,27,20000,0.2,0.0,90970,,,0.7,0.5,0.54,,,1.0,
Le Havre,76351,Seine-Maritime,Haute-Normandie,football,Le Havre AC,2022,2,8,28,25178,0.24,0.0,2150,,,0.65,0.5,0.532,,,0.023462409569672583,
Le Havre,76351,Seine-Maritime,Haute-Normandie,football,Le Havre AC,2023,2,1,21,25178,0.5,0.0,2042,,,1.0,0.5,0.75,,,0.022274996151900962,
Petit-Quevilly,76498,Seine-Maritime,Haute-Normandie,football,Quevilly Rouen,2022,2,18,38,8372,0.38,0.0,293,,,0.15,0.5,0.374,,,0.003045495525210546,
Petit-Quevilly,76498,Seine-Maritime,Haute-Normandie,football,Quevilly Rouen,2023,2,11,31,8372,0.46,0.0,335,,,0.5,0.5,0.538,,,0.00350726740989951,
Niort,79191,Deux-Sèvres,Poitou-Charentes,football,Chamois Niort,2022,2,13,33,10406,0.19,0.0,716,,,0.4,0.5,0.41700000000000004,,,0.0076961980781493945,
Niort,79191,Deux-Sèvres,Poitou-Charentes,football,Chamois Niort,2023,2,20,40,10406,0.25,0.0,698,,,0.05,0.5,0.29500000000000004,,,0.007498295841854124,
Amiens,80021,Somme,Picardie,football,Amiens SC,2022,2,14,34,12999,0.55,0.0,2010,,,0.35,0.5,0.505,,,0.021923169954042702,
Amiens,80021,Somme,Picardie,football,Amiens SC,2023,2,12,32,12999,0.58,0.0,1939,,,0.45,0.5,0.554,,,0.021142555577544693,
Auxerre,89024,Yonne,Bourgogne,football,AJ Auxerre,2022,2,3,23,18541,0.47,0.0,474,,,0.9,0.5,0.7010000000000001,,,0.0050355124568463175,
Auxerre,89024,Yonne,Bourgogne,football,AJ Auxerre,2023,1,17,17,18541,0.84,0.0,468,,,0.2,1.0,0.732,,,0.004969545044747894,
